04-30-2024 18:00:05 RAM 9246/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [7%@729,4%@729,2%@729,1%@729,8%@729,1%@729,9%@729,0%@729,off,off,off,off] GR3D_FREQ 54% cpu@48.375C tboard@37C soc2@44.656C tdiode@42.125C soc0@44.437C gpu@45.906C tj@48.187C soc1@44.406C VDD_GPU_SOC 11173mW/11562mW VDD_CPU_CV 399mW/427mW VIN_SYS_5V0 7572mW/7709mW VDDQ_VDD2_1V8AO 2419mW/2534mW
04-30-2024 18:00:06 RAM 9246/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [6%@1728,7%@1728,2%@1728,2%@1728,11%@729,0%@729,5%@729,3%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.343C tboard@37C soc2@44.625C tdiode@42.375C soc0@44.312C gpu@46C tj@48.343C soc1@44.375C VDD_GPU_SOC 11173mW/11553mW VDD_CPU_CV 399mW/426mW VIN_SYS_5V0 7572mW/7706mW VDDQ_VDD2_1V8AO 2419mW/2531mW
04-30-2024 18:00:07 RAM 9246/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@729,2%@1728,1%@1728,1%@1728,8%@729,0%@729,0%@729,12%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.406C tboard@37C soc2@44.75C tdiode@42.375C soc0@44.531C gpu@45.843C tj@48.187C soc1@44.5C VDD_GPU_SOC 11173mW/11544mW VDD_CPU_CV 399mW/426mW VIN_SYS_5V0 7572mW/7703mW VDDQ_VDD2_1V8AO 2419mW/2528mW
04-30-2024 18:00:08 RAM 9246/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@1728,3%@1728,1%@1728,1%@1728,9%@729,0%@729,0%@729,12%@729,off,off,off,off] GR3D_FREQ 53% cpu@48.406C tboard@37C soc2@44.656C tdiode@42.25C soc0@44.312C gpu@45.906C tj@48.406C soc1@44.5C VDD_GPU_SOC 11177mW/11536mW VDD_CPU_CV 399mW/425mW VIN_SYS_5V0 7572mW/7700mW VDDQ_VDD2_1V8AO 2419mW/2526mW
04-30-2024 18:00:09 RAM 9241/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [5%@729,4%@729,4%@729,6%@729,6%@729,5%@729,3%@729,11%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.593C tboard@37C soc2@44.812C tdiode@42.375C soc0@44.562C gpu@46.031C tj@48.343C soc1@44.437C VDD_GPU_SOC 11572mW/11537mW VDD_CPU_CV 798mW/433mW VIN_SYS_5V0 7672mW/7699mW VDDQ_VDD2_1V8AO 2520mW/2526mW
04-30-2024 18:00:10 RAM 9241/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [4%@729,5%@729,2%@729,7%@729,1%@729,10%@729,12%@729,0%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.468C tboard@37.125C soc2@44.812C tdiode@42.375C soc0@44.437C gpu@46.218C tj@48.25C soc1@44.562C VDD_GPU_SOC 11173mW/11529mW VDD_CPU_CV 399mW/432mW VIN_SYS_5V0 7572mW/7697mW VDDQ_VDD2_1V8AO 2419mW/2523mW
04-30-2024 18:00:11 RAM 9241/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@1728,4%@1728,2%@1728,1%@1728,0%@729,10%@729,8%@729,4%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.375C tboard@37.125C soc2@44.781C tdiode@42.375C soc0@44.406C gpu@46.156C tj@48.375C soc1@44.406C VDD_GPU_SOC 11173mW/11522mW VDD_CPU_CV 399mW/432mW VIN_SYS_5V0 7572mW/7694mW VDDQ_VDD2_1V8AO 2419mW/2521mW
04-30-2024 18:00:12 RAM 9241/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [2%@1728,3%@1728,1%@1728,1%@1728,0%@729,10%@729,5%@729,7%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.437C tboard@37.125C soc2@44.968C tdiode@42.25C soc0@44.5C gpu@46C tj@48.406C soc1@44.625C VDD_GPU_SOC 11173mW/11514mW VDD_CPU_CV 399mW/431mW VIN_SYS_5V0 7672mW/7693mW VDDQ_VDD2_1V8AO 2419mW/2519mW
04-30-2024 18:00:13 RAM 9241/62841MB (lfb 3x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,8%@729,14%@729,0%@729,off,off,off,off] GR3D_FREQ 99% cpu@48.375C tboard@37.125C soc2@44.906C tdiode@42.375C soc0@44.531C gpu@46.156C tj@48.375C soc1@44.5C VDD_GPU_SOC 11173mW/11508mW VDD_CPU_CV 399mW/430mW VIN_SYS_5V0 7572mW/7691mW VDDQ_VDD2_1V8AO 2419mW/2517mW
04-30-2024 18:00:14 RAM 9240/62841MB (lfb 4x4MB) SWAP 0/31421MB (cached 0MB) CPU [7%@729,6%@729,3%@729,7%@729,1%@729,11%@729,14%@729,0%@729,off,off,off,off] GR3D_FREQ 57% cpu@48.562C tboard@37.125C soc2@44.906C tdiode@42.375C soc0@44.562C gpu@46.156C tj@48.406C soc1@44.656C VDD_GPU_SOC 11177mW/11501mW VDD_CPU_CV 798mW/438mW VIN_SYS_5V0 7572mW/7689mW VDDQ_VDD2_1V8AO 2419mW/2515mW
